Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
MSitAE-JULY-2020,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,6772,74,1586,526,0,19,38,3,2069,0,32,913
MSitAE-JULY-2020,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6271,0,74,518,0,1,36,0,1486,0,0,432
MSitAE-JULY-2020,Y03051,NHS ENGLAND SOUTH EAST ,HASTINGS MED P & WALKIN,0,0,512,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,6989,0,0,0,0,0,139,0,2791,0,0,373
MSitAE-JULY-2020,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,7356,0,624,187,0,0,46,0,2341,0,0,472
MSitAE-JULY-2020,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,27,88
MSitAE-JULY-2020,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3611,0,0,360,0,0,29,0,894,0,0,148
MSitAE-JULY-2020,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,7877,0,3118,332,0,28,21,0,2776,0,0,322
MSitAE-JULY-2020,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0,0,1791,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RD3,NHS ENGLAND SOUTH WEST ,POOLE HOSPITAL NHS FOUNDATION TRUST,5375,0,1686,0,0,0,122,0,1621,0,0,1214
MSitAE-JULY-2020,Y02572,NHS ENGLAND NORTH EAST AND YORKSHIRE ,PARK COMMUNITY PRACTICE,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NQT5F,NHS ENGLAND NORTH WEST ,SKELMERSDALE WALK IN CENTRE,0,0,357,0,0,4,0,0,0,0,0,0
MSitAE-JULY-2020,NQT10,NHS ENGLAND SOUTH EAST ,ASSURA READING LLP,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NYM13,NHS ENGLAND LONDON,HHCIC EAST WIC,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0,0,952,0,0,0,0,0,0,0,0,98
MSitAE-JULY-2020,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,11090,0,3207,1083,0,7,113,0,2620,0,0,766
MSitAE-JULY-2020,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7891,0,2347,0,0,0,239,0,2297,0,32,494
MSitAE-JULY-2020,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0,0,891,0,0,5,0,0,0,0,0,0
MSitAE-JULY-2020,Y04538,NHS ENGLAND SOUTH EAST ,BRACKNELL URGENT CARE CENTRE WIC,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,Y02816,NHS ENGLAND SOUTH EAST ,EASTBOURNE STATION HEALTH CENTRE,0,0,444,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0,0,203,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NQT5H,NHS ENGLAND SOUTH WEST ,PAULTON MEMORIAL HOSPITAL,0,0,250,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7052,0,0,795,0,0,0,0,1961,0,0,316
MSitAE-JULY-2020,NNF94,NHS ENGLAND NORTH EAST AND YORKSHIRE ,EAST RIDING COMMUNITY HOSPITAL,0,0,1681,0,0,13,0,0,0,0,0,0
MSitAE-JULY-2020,G82071,NHS ENGLAND SOUTH EAST ,WHITSTABLE MEDICAL PRACTICE,0,0,2196,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,6637,587,1233,525,1,0,385,0,1985,0,0,1072
MSitAE-JULY-2020,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0,0,2646,0,0,56,0,0,0,0,0,0
MSitAE-JULY-2020,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,11325,890,1850,1905,36,10,195,0,2602,20,0,435
MSitAE-JULY-2020,RT3,NHS ENGLAND LONDON,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,189
MSitAE-JULY-2020,NLX,NHS ENGLAND SOUTH WEST ,SIRONA CARE & HEALTH,0,0,5926,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,11544,0,0,725,0,0,135,0,2609,0,0,908
MSitAE-JULY-2020,NL7,NHS ENGLAND MIDLANDS ,ASSURA VERTIS URGENT CARE CENTRES (BIRMINGHAM),0,0,3345,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,ARN03,NHS ENGLAND NORTH EAST AND YORKSHIRE ,LOCAL CARE DIRECT,0,0,1118,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,Y02676,NHS ENGLAND SOUTH EAST ,BRIGHTON STATION HEALTH CENTRE,0,0,742,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NNFA7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GOOLE & DISTRICT HOSPITAL,0,0,887,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2020,ARN02,NHS ENGLAND NORTH EAST AND YORKSHIRE ,ST.GEORGE'S CENTRE,0,0,1763,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NNF76,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE WILBERFORCE HEALTH CENTRE,0,0,1669,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5139,0,0,877,0,0,109,0,1373,0,0,157
MSitAE-JULY-2020,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,4997,0,8476,976,0,42,202,0,1971,0,37,1373
MSitAE-JULY-2020,RVY,NHS ENGLAND NORTH WEST ,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,5618,0,2633,549,0,0,53,0,2082,0,0,80
MSitAE-JULY-2020,RBQ,NHS ENGLAND NORTH WEST ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,194
MSitAE-JULY-2020,L83087,NHS ENGLAND SOUTH WEST ,OKEHAMPTON MEDICAL CENTRE,0,0,124,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,C82038,NHS ENGLAND MIDLANDS ,LATHAM HOUSE MEDICAL PRACTICE,0,0,270,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RY8,NHS ENGLAND MIDLANDS ,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,0,0,5274,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2020,NNF09,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRANSHOLME HEALTH CENTRE,0,0,2143,0,0,2,0,0,0,0,0,0
MSitAE-JULY-2020,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5365,0,641,280,0,0,42,0,1484,0,0,642
MSitAE-JULY-2020,RQX,NHS ENGLAND LONDON,HOMERTON UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7446,0,0,387,0,0,46,1,1267,0,0,146
MSitAE-JULY-2020,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0,0,52,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,Y03571,NHS ENGLAND MIDLANDS ,CORBY URGENT CARE CENTRE,0,0,4821,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,DT301,NHS ENGLAND EAST OF ENGLAND ,HERTS URGENT CARE (ASCOTS LANE),0,0,1535,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,2652,0,0,30,0,0,0,0,392,0,0,148
MSitAE-JULY-2020,C83023,NHS ENGLAND MIDLANDS ,SLEAFORD MEDICAL GROUP,0,0,152,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,8456,1058,0,495,28,0,22,0,3204,11,0,1326
MSitAE-JULY-2020,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9788,0,0,1433,0,0,109,0,2668,0,0,1158
MSitAE-JULY-2020,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,13057,0,5608,0,0,0,28,0,2392,0,0,305
MSitAE-JULY-2020,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,11151,0,7445,1023,0,161,154,37,3905,0,0,494
MSitAE-JULY-2020,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,5930,0,1156,520,0,2,35,0,2468,0,0,608
MSitAE-JULY-2020,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,7066,0,0,0,0,0,48,2,1818,0,0,263
MSitAE-JULY-2020,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,7905,0,0,989,0,0,99,5,1745,0,0,269
MSitAE-JULY-2020,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9536,0,0,454,0,0,147,0,2433,0,0,1104
MSitAE-JULY-2020,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11471,0,0,1185,0,0,204,0,3030,0,0,408
MSitAE-JULY-2020,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,10148,0,9448,739,0,199,60,33,3977,0,0,978
MSitAE-JULY-2020,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",6879,0,3253,582,0,5,122,0,2895,0,0,168
MSitAE-JULY-2020,NQ108,NHS ENGLAND EAST OF ENGLAND ,CLACTON HOSPITAL,0,0,2298,0,0,1,1,0,0,0,0,0
MSitAE-JULY-2020,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,5472,0,0,434,0,0,1,0,1552,0,0,443
MSitAE-JULY-2020,RAS,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,3060,0,3140,443,0,7,186,2,842,0,0,282
MSitAE-JULY-2020,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,9398,786,3348,1350,0,2,101,0,2810,0,0,2499
MSitAE-JULY-2020,NQ106,NHS ENGLAND EAST OF ENGLAND ,FRYATT HOSPITAL,0,0,285,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NTPAD,NHS ENGLAND SOUTH EAST ,ST MARY'S NHS TREATMENT CENTRE,0,0,4405,0,0,115,0,0,0,0,0,0
MSitAE-JULY-2020,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,6549,0,3054,1078,0,60,241,0,2011,0,0,1246
MSitAE-JULY-2020,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,7727,0,7777,118,0,14,0,0,4605,0,64,763
MSitAE-JULY-2020,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,9275,0,3447,602,0,0,55,46,1451,0,0,186
MSitAE-JULY-2020,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,10757,0,3794,1077,0,0,180,0,3015,0,0,825
MSitAE-JULY-2020,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0,0,5895,0,0,24,0,0,0,0,0,0
MSitAE-JULY-2020,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,3460,0,0,95,0,0,0,0,648,173,0,0
MSitAE-JULY-2020,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE HOSPITALS NHS TRUST,14654,0,2934,0,0,0,585,1,3412,0,119,547
MSitAE-JULY-2020,RXN,NHS ENGLAND NORTH WEST ,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,4464,0,7530,1092,0,64,281,0,1996,0,174,976
MSitAE-JULY-2020,NNJ12,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,2612,0,1615,188,0,1,29,0,1055,0,0,264
MSitAE-JULY-2020,NJS05,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0,0,3529,0,0,1,0,0,0,0,0,0
MSitAE-JULY-2020,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,7173,0,1815,826,0,1,17,2,1936,0,0,1731
MSitAE-JULY-2020,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0,3944,0,0,0,0,0,0,0,15,0,181
MSitAE-JULY-2020,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0,0,3293,0,0,3,0,0,0,0,0,10
MSitAE-JULY-2020,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4041,0,3121,260,0,1,2,0,1240,0,0,309
MSitAE-JULY-2020,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,13244,1660,200,0,0,0,8,0,4536,0,0,3865
MSitAE-JULY-2020,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0,0,1869,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,AD913,NHS ENGLAND LONDON,BECKENHAM BEACON UCC,0,0,2799,0,0,4,0,0,0,0,0,0
MSitAE-JULY-2020,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,8138,0,1358,502,0,0,40,0,2654,0,0,216
MSitAE-JULY-2020,NNJ14,NHS ENGLAND MIDLANDS ,OADBY,0,0,411,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RL1,NHS ENGLAND MIDLANDS ,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,0,0,0,0,0,0,0,0,0,0,0,241
MSitAE-JULY-2020,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,7026,421,4708,968,2,41,199,5,2005,0,0,248
MSitAE-JULY-2020,REP,NHS ENGLAND NORTH WEST ,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,0,697,0,0,13,0,0,0,0,69,0,22
MSitAE-JULY-2020,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11575,592,7948,4243,0,116,37,4,3901,0,0,898
MSitAE-JULY-2020,RDZ,NHS ENGLAND SOUTH WEST ,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,6353,1307,305,963,0,0,47,0,2407,6,0,763
MSitAE-JULY-2020,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4675,0,3362,206,0,0,86,0,1973,0,0,1173
MSitAE-JULY-2020,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15113,0,6614,3239,0,6,185,0,4547,0,55,1262
MSitAE-JULY-2020,RAT,NHS ENGLAND LONDON,NORTH EAST LONDON NHS FOUNDATION TRUST,0,0,3438,0,0,14,0,0,0,0,0,0
MSitAE-JULY-2020,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,18672,912,10337,1943,3,15,855,3,7496,0,0,1466
MSitAE-JULY-2020,RA4,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,4426,0,0,104,0,0,2,0,1452,0,0,376
MSitAE-JULY-2020,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,8773,545,1618,950,0,0,114,0,2543,0,0,597
MSitAE-JULY-2020,NTP11,NHS ENGLAND SOUTH EAST ,SOUTHAMPTON NHS TREATMENT CENTRE,0,0,2828,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NNJ,NHS ENGLAND MIDLANDS ,DHU HEALTH CARE C.I.C,0,0,471,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NNJ13,NHS ENGLAND MIDLANDS ,MELTON MOWBRAY,0,0,0,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,6180,0,2397,392,0,0,25,0,2168,0,0,730
MSitAE-JULY-2020,RNA,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,7334,0,4996,371,0,5,274,0,2547,0,0,931
MSitAE-JULY-2020,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9780,0,0,1177,0,0,607,1,3012,0,0,883
MSitAE-JULY-2020,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6486,0,0,435,0,0,59,0,1263,0,0,486
MSitAE-JULY-2020,RY9,NHS ENGLAND LONDON,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,0,0,2366,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,NNJ15,NHS ENGLAND MIDLANDS ,OAKHAM,0,0,80,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,8811,1687,0,565,12,0,66,0,2693,0,0,585
MSitAE-JULY-2020,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3740,0,494,367,0,0,2,0,907,0,0,427
MSitAE-JULY-2020,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,6603,0,3122,234,0,0,11,0,1423,0,0,460
MSitAE-JULY-2020,RC9,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,12230,0,3447,0,0,0,5,0,4403,0,0,1025
MSitAE-JULY-2020,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,3630,0,0,172,0,0,0,0,824,0,0,163
MSitAE-JULY-2020,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,17209,2372,4634,2067,14,29,369,0,5436,120,90,745
MSitAE-JULY-2020,RTV,NHS ENGLAND NORTH WEST ,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,0,0,181,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RBN,NHS ENGLAND NORTH WEST ,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,9375,0,3479,1443,0,0,74,0,4106,0,0,330
MSitAE-JULY-2020,RY2,NHS ENGLAND NORTH WEST ,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0,0,2442,0,0,0,0,0,0,0,0,0
MSitAE-JULY-2020,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8210,0,0,959,0,0,147,0,2356,0,0,716
